Text,X.M.._twitter_id,X.M..language..,Not-related, other flood identification,rain identification,disaster management,flood identification,consequence score,irony(politics,emotional (positive or negative),effects on social life,situation overview,weather warning,flood aid,volunteers,timeperiod,X.M..posted_time..,daynight,timeperiod(hourly)
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73570523838153E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,18,07/09/2016 17:15:59,day,18
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73572042302063E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,18,07/09/2016 17:22:01,day,18
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73572674828243E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,18,07/09/2016 17:24:32,day,18
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73589210603324E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,18,07/09/2016 18:30:15,day,19
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73591043522568E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,18,07/09/2016 18:37:32,day,19
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73598066150674E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,18,07/09/2016 19:05:26,day,20
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73606331961975E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 19:38:17,day,20
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73606506348548E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 19:38:58,day,20
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73606534408442E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 19:39:05,day,20
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73606810607575E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 19:40:11,day,20
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73606876529488E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 19:40:26,day,20
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73607468865843E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 19:42:48,day,20
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73608776201044E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 19:47:59,day,20
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73608998956335E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 19:48:52,day,20
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73609233757659E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 19:49:48,day,20
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73609303789961E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 19:50:05,day,20
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73609570237374E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 19:51:09,night,20
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73610071750222E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 19:53:08,night,20
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73626917853487E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 21:00:05,night,21
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73627649436574E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 21:02:59,night,22
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73628203525083E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 21:05:11,night,22
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73628288623321E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 21:05:31,night,22
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73628364099813E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 21:05:49,night,22
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73628491514413E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 21:06:20,night,22
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73628684041331E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 21:07:06,night,22
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73629021552775E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 21:08:26,night,22
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73637674850738E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 21:42:49,night,22
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73641775626019E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 21:59:07,night,22
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73646038817276E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 22:16:03,night,23
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73647050697245E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 22:20:05,night,23
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73651085965877E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 22:36:07,night,23
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,7.73667525213249E+017,el,,N,N,N,Y,N,N,N,N,Y,N,N,N,24,07/09/2016 23:41:26,night,24
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,"7,73777325217514E+017",el,,N,N,N,Y,N,N,N,N,Y,N,N,N,36,08/09/2016 06:57:45,night,31
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,"7,73784703077847E+017",el,,N,N,N,Y,N,N,N,N,Y,N,N,N,36,08/09/2016 07:27:04,day,32
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,"7,73792911007871E+017",el,,N,N,N,Y,N,N,N,N,Y,N,N,N,36,08/09/2016 07:59:41,day,32
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,"7,7379291109596E+017",el,,N,N,N,Y,N,N,N,N,Y,N,N,N,36,08/09/2016 07:59:41,day,32
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,"7,73792911083368E+017",el,,N,N,N,Y,N,N,N,N,Y,N,N,N,36,08/09/2016 07:59:41,day,32
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,"7,73792911079145E+017",el,,N,N,N,Y,N,N,N,N,Y,N,N,N,36,08/09/2016 07:59:41,day,32
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,"7,73792911079182E+017",el,,N,N,N,Y,N,N,N,N,Y,N,N,N,36,08/09/2016 07:59:41,day,32
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,"7,73800392756957E+017",el,,N,N,N,Y,N,N,N,N,Y,N,N,N,36,08/09/2016 08:29:24,day,33
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,"7,73801338467746E+017",el,,N,N,N,Y,N,N,N,N,Y,N,N,N,36,08/09/2016 08:33:10,day,33
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,"7,7380895002631E+017",el,,N,N,N,Y,N,N,N,N,Y,N,N,N,36,08/09/2016 09:03:25,day,34
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,"7,73809441150042E+017",el,,N,N,N,Y,N,N,N,N,Y,N,N,N,36,08/09/2016 09:05:22,day,34
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,"7,73817280224432E+017",el,,N,N,N,Y,N,N,N,N,Y,N,N,N,36,08/09/2016 09:36:31,day,34
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,"7,73817368095101E+017",el,,N,N,N,Y,N,N,N,N,Y,N,N,N,36,08/09/2016 09:36:52,day,34
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,"7,73819604099621E+017",el,,N,N,N,Y,N,N,N,N,Y,N,N,N,36,08/09/2016 09:45:45,day,34
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,"7,73824528833282E+017",el,,N,N,N,Y,N,N,N,N,Y,N,N,N,36,08/09/2016 10:05:19,day,35
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,"7,73835080926102E+017",el,,N,N,N,Y,N,N,N,N,Y,N,N,N,36,08/09/2016 10:47:15,day,35
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,"7,7385948099183E+017",el,,N,N,N,Y,N,N,N,N,Y,N,N,N,36,08/09/2016 12:24:12,day,37
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,"7,73913763456123E+017",el,,N,N,N,Y,N,N,N,N,Y,N,N,N,48,08/09/2016 15:59:54,day,40
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,"7,73961244441244E+017",el,,N,N,N,Y,N,N,N,N,Y,N,N,N,48,08/09/2016 19:08:34,day,44
RT @kanekos69: Σαν πας στην Καλαματα και ρθεις με το κανό... ,"7,73975701871559E+017",el,,N,N,N,Y,N,N,N,N,Y,N,N,N,48,08/09/2016 20:06:01,night,45
RT @karameros: Οι επώδυνες συνέπειες της κλιματικής αλλαγής χτύπησαν την Καλαμάτα #climatechange #climateaction #climatejustice https://t.c… ,7.73432653232169E+017,el,,N,N,N,N,N,N,N,N,N,N,N,N,8,07/09/2016 08:08:08,day,9
RT @karameros: Οι επώδυνες συνέπειες της κλιματικής αλλαγής χτύπησαν την Καλαμάτα #climatechange #climateaction #climatejustice https://t.c… ,7.73432708727005E+017,el,,N,N,N,N,N,N,N,N,N,N,N,N,8,07/09/2016 08:08:22,day,9
RT @karameros: Οι επώδυνες συνέπειες της κλιματικής αλλαγής χτύπησαν την Καλαμάτα #climatechange #climateaction #climatejustice https://t.c… ,7.73439541558534E+017,el,,N,N,N,N,N,N,N,N,N,N,N,N,8,07/09/2016 08:35:31,day,9
RT @karameros: Οι επώδυνες συνέπειες της κλιματικής αλλαγής χτύπησαν την Καλαμάτα #climatechange #climateaction #climatejustice https://t.c… ,7.73445325818307E+017,el,,N,N,N,N,N,N,N,N,N,N,N,N,8,07/09/2016 08:58:30,day,9
RT @karameros: Οι επώδυνες συνέπειες της κλιματικής αλλαγής χτύπησαν την Καλαμάτα #climatechange #climateaction #climatejustice https://t.c… ,7.73445450762449E+017,el,,N,N,N,N,N,N,N,N,N,N,N,N,8,07/09/2016 08:59:00,day,9
RT @karameros: Οι επώδυνες συνέπειες της κλιματικής αλλαγής χτύπησαν την Καλαμάτα #climatechange #climateaction #climatejustice https://t.c… ,7.73449879007949E+017,el,,N,N,N,N,N,N,N,N,N,N,N,N,12,07/09/2016 09:16:35,day,10
RT @karameros: Οι επώδυνες συνέπειες της κλιματικής αλλαγής χτύπησαν την Καλαμάτα #climatechange #climateaction #climatejustice https://t.c… ,7.73503963291353E+017,el,,N,N,N,N,N,N,N,N,N,N,N,N,12,07/09/2016 12:51:30,day,13
RT @karameros: Οι επώδυνες συνέπειες της κλιματικής αλλαγής χτύπησαν την Καλαμάτα #climatechange #climateaction #climatejustice https://t.c… ,7.73555539049583E+017,el,,N,N,Y,N,N,N,N,N,N,N,N,N,18,07/09/2016 16:16:27,day,17
RT @karfitsagr: Μία γυναίκα νεκρή από τις βροχοπτώσεις στην Καλαμάτα - https://t.co/SCZnyXQXer https://t.co/4749nQNtTU ,7.73406316945605E+017,el,,N,Y,N,N,5,N,N,N,Y,N,N,N,6,07/09/2016 06:23:29,night,7
"RT @KaskusAHAY: Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta https://t.co/01WF9RLbrm @rarasathie_ ",7.73582155482096E+017,en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 18:02:12,day,19
RT @kathimerini_gr: Λεβέντης σε Τσίπρα: «Να πάνε υπουργοί στην Καλαμάτα» https://t.co/NXyrFmZwzF ,7.73472114804461E+017,el,,N,N,Y,N,N,N,N,N,N,N,N,N,12,07/09/2016 10:44:57,day,11
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73842007886295E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,36,08/09/2016 11:14:46,day,36
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73846000314311E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,36,08/09/2016 11:30:38,day,36
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73846337083347E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,36,08/09/2016 11:31:58,day,36
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73847717734908E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,36,08/09/2016 11:37:27,day,36
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,738508667303E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,36,08/09/2016 11:49:58,day,36
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,7386037652607E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,36,08/09/2016 12:27:46,day,37
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73867460005073E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,36,08/09/2016 12:55:54,day,37
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73880612763689E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 13:48:10,day,38
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73884407061021E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 14:03:15,day,39
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73902555403391E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 15:15:22,day,40
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73902626060694E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 15:15:39,day,40
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73902881367917E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 15:16:39,day,40
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73903072963813E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 15:17:25,day,40
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,7390346541645E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 15:18:59,day,40
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73903598627463E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 15:19:31,day,40
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73903803347309E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 15:20:19,day,40
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,7390602470939E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 15:29:09,day,40
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73906251919004E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 15:30:03,day,40
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73907494800331E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 15:34:59,day,40
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73908279185539E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 15:38:06,day,40
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73909724282642E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 15:43:51,day,40
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73912081636753E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 15:53:13,day,40
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73915144619487E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 16:05:23,day,41
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73921316068004E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 16:29:55,day,41
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73924596617736E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 16:42:57,day,41
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73937003247337E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 17:32:15,day,42
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73938108324872E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 17:36:38,day,42
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73939439143907E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 17:41:56,day,42
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73953622363238E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 18:38:17,day,43
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73956496245784E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 18:49:42,day,43
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73984448421462E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 20:40:47,night,45
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,73986094257963E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 20:47:19,night,45
"RT @kathimerini_gr: Στιγμιότυπα από την επίσκεψη Σαμαρά στην Καλαμάτα: Είναι πραγματική τραγωδία, αλλά έχουμε περάσει πιο δύσκολα.  https:/… ","7,74002604200296E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 21:52:55,night,46
RT @KIRKH_: Ο δήμαρχος εξαφανισμένος.Ούτε στη σύσκεψη δεν πήγε.Να τον χαίρεστε εκει στον Καλαμάτα ,7.73622014544384E+017,el,,N,N,Y,N,N,N,N,N,N,N,N,N,24,07/09/2016 20:40:36,night,21
RT @Kommatoskylos: @anny_v10 γύρισαν ο Τόσκας με τον Σπίρτζη από την Καλαμάτα και του έφεραν από το καλό ,7.7359349293738E+017,el,,N,N,Y,N,N,N,N,N,N,N,N,N,18,07/09/2016 18:47:16,day,19
RT @KontraChannel: Aυτοκίνητα «κατάπιε» η θάλασσα στην Καλαμάτα (Φωτογραφίες) | kontranews.gr https://t.co/7dy5JD7U6G ,7.73432728280859E+017,el,,N,N,N,N,4,N,N,N,Y,N,N,N,8,07/09/2016 08:08:26,day,9
"RT @Kouti_Pandoras: Σαμαράς: Είναι πραγματική τραγωδία στην Καλαμάτα, αλλά έχουμε περάσει και πιο δύσκολα https://t.co/pRqIwuCr0Y ",7.7375689190212E+017,el,,N,N,N,N,N,N,N,N,N,N,N,N,36,08/09/2016 05:36:33,night,30
RT @kyrosgranazis_: Έφυγε ο Σαμαράς και κοντεύει να διαλυθεί η Καλαμάτα https://t.co/4KIt6g55jO ,7.73517720029651E+017,el,,N,N,Y,N,N,Y,N,N,N,N,N,N,18,07/09/2016 13:46:10,day,14
RT @kyrosgranazis_: Έφυγε ο Σαμαράς και κοντεύει να διαλυθεί η Καλαμάτα https://t.co/4KIt6g55jO ,7.73559420823474E+017,el,,N,N,Y,N,N,Y,N,N,N,N,N,N,18,07/09/2016 16:31:52,day,17
"RT @Lakonikos_Typos: Στο έλεος της κακοκαιρίας Λακωνία και Μεσσηνία! (ΦΩΤΟ): Ζημιές από πλημμύρες σε Σπάρτη, νότια και ανατολική... https:/… ","7,73904791302963E+017",el,,N,N,N,N,3,N,N,N,Y,N,N,N,48,08/09/2016 15:24:15,day,40
RT @Lamianow: Βιβλική καταστροφή στην Καλαμάτα: Η θάλασσα «κατάπιε»... https://t.co/zVOodHY7vr https://t.co/9HyXJIyTxe ,7.73479959948067E+017,el,,N,N,N,N,4,N,N,N,Y,N,N,N,12,07/09/2016 11:16:07,day,12
"RT @leftgr: Τρεις νεκροί στη Μεσσηνία, ένας στη Λακωνία και μια αγνοούμενη στη Θεσσαλονίκη από την κακοκαιρία - Στην Καλαμάτα... https://t.… ",7.73517072257122E+017,el,,Y,N,N,N,5,N,N,N,Y,N,N,N,18,07/09/2016 13:43:35,day,14
RT @LiberalGr: Στην Καλαμάτα μεταβαίνει o Ν. Τόσκας και ο γγ Πολιτικής Προστασίας https://t.co/tjHOBbZp9L #LiberalGr ,7.73481321301762E+017,el,,N,N,Y,N,N,N,N,N,N,N,N,N,12,07/09/2016 11:21:32,day,12
RT @LiberalGr: Στην Καλαμάτα μεταβαίνει o Ν. Τόσκας και ο γγ Πολιτικής Προστασίας https://t.co/tjHOBbZp9L #LiberalGr ,7.73481794117177E+017,el,,N,N,Y,N,N,N,N,N,N,N,N,N,12,07/09/2016 11:23:24,day,12
RT @LiberalGr: Στην Καλαμάτα ο Α. Σαμαράς μετά τις καταστροφικές πλημμύρες στην περιοχή https://t.co/6i7nxCD7TX #LiberalGr ,7.73506739459219E+017,el,,Y,N,Y,Y,4,N,N,N,Y,N,N,N,12,07/09/2016 13:02:32,day,14
RT @LiberalGr: Τέσσερις νεκροί και δύο αγνοούμενοι από την κακοκαιρία στην Καλαμάτα https://t.co/67a2jN9dPJ #LiberalGr ,7.73515585649013E+017,el,,Y,N,N,N,5,N,N,N,Y,N,N,N,18,07/09/2016 13:37:41,day,14
RT @LiberalGr: Τέσσερις νεκροί και δύο αγνοούμενοι από την κακοκαιρία στην Καλαμάτα https://t.co/67a2jN9dPJ #LiberalGr ,7.73517121963823E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,18,07/09/2016 13:43:47,day,14
RT @LiberalGr: Τρεις νεκροί και μία αγνοούμενη από την κακοκαιρία στην Καλαμάτα https://t.co/67a2jN9dPJ #LiberalGr ,7.73416445992722E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,6,07/09/2016 07:03:44,night,8
"RT @lifomag: Καλαμάτα: Έκλεισαν αεροδρόμιο και αρχαιολογικός χώρος Μεσσήνης, λόγω κακοκαιρίας https://t.co/dVxjaXbjDU ",7.73607855094112E+017,el,,N,N,Y,N,3,N,N,Y,Y,N,N,N,24,07/09/2016 19:44:20,day,20
